City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,College,US,2020-06-25 21:54:30,64.86,-147.8,64.99,42,40,5.82
192,Mirnyy,RU,2020-06-25 21:49:30,62.54,113.96,59.0,87,19,1.77
193,Karmala,IN,2020-06-25 21:54:30,18.42,75.2,78.04,76,69,7.05
194,Laguna,US,2020-06-25 21:54:30,38.42,-121.42,100.0,26,1,6.93
195,Sabang,ID,2020-06-25 21:54:30,5.89,95.32,83.23,68,100,6.22
196,La Ronge,CA,2020-06-25 21:54:30,55.1,-105.28,78.8,34,20,6.93
197,Carnarvon,AU,2020-06-25 21:54:30,-24.87,113.63,53.6,100,0,4.7
198,Karratha,AU,2020-06-25 21:54:31,-20.74,116.85,64.89,44,0,8.63
199,Hudson Bay,CA,2020-06-25 21:51:33,52.85,-102.38,72.68,67,96,9.89
200,Itambacuri,BR,2020-06-25 21:54:31,-18.03,-41.69,64.9,84,25,4.43
201,Camacha,PT,2020-06-25 21:54:31,33.08,-16.33,68.0,72,20,9.17
202,Alyangula,AU,2020-06-25 21:54:31,-13.85,136.42,71.6,83,40,3.36
203,Xuanhua,CN,2020-06-25 21:54:31,40.61,115.04,65.91,74,3,2.19
204,Bartlesville,US,2020-06-25 21:51:15,36.75,-95.98,91.4,41,1,10.29
205,Vanimo,PG,2020-06-25 21:54:31,-2.67,141.3,79.77,84,100,8.16
206,Inhambane,MZ,2020-06-25 21:54:31,-23.86,35.38,66.15,82,48,5.77
207,Egvekinot,RU,2020-06-25 21:54:32,66.32,-179.17,38.05,98,100,9.75
208,Kipini,KE,2020-06-25 21:54:32,-2.53,40.53,77.0,88,90,4.7
209,Ponta Do Sol,PT,2020-06-25 21:54:32,32.67,-17.1,69.8,68,40,8.05
210,Vila,PT,2020-06-25 21:54:32,42.03,-8.16,62.01,93,75,3.36
211,Bikramganj,IN,2020-06-25 21:54:32,25.2,84.25,82.96,79,100,11.03
212,Cauquenes,CL,2020-06-25 21:54:32,-35.97,-72.32,46.92,82,100,1.66
213,Nokha,IN,2020-06-25 21:54:32,27.6,73.42,90.9,50,81,16.49
214,Lubao,PH,2020-06-25 21:54:32,14.92,120.55,77.0,83,75,2.24
215,Lata,PT,2020-06-25 21:54:32,40.16,-8.33,63.0,89,4,5.01
216,Naze,JP,2020-06-25 21:54:33,28.37,129.48,80.6,94,75,14.99
217,Santa Cruz De La Palma,ES,2020-06-25 21:54:33,28.68,-17.76,71.6,78,20,16.11
218,Lodja,CD,2020-06-25 21:54:33,-3.48,23.43,77.49,56,95,1.57
219,Saint Anthony,US,2020-06-25 21:54:33,45.02,-93.22,86.0,37,1,5.82
220,Vila Franca Do Campo,PT,2020-06-25 21:54:33,37.72,-25.43,64.4,88,20,18.34
221,Leningradskiy,RU,2020-06-25 21:54:33,69.38,178.42,34.79,94,100,1.88
222,Sur,OM,2020-06-25 21:54:33,22.57,59.53,83.55,79,24,15.43
223,Salalah,OM,2020-06-25 21:54:33,17.02,54.09,82.4,88,40,6.93
224,Severo-Yeniseyskiy,RU,2020-06-25 21:54:33,60.37,93.04,55.17,86,1,2.91
225,Santa Rosa,PH,2020-06-25 21:54:33,14.31,121.11,80.6,83,40,6.8
226,Fernley,US,2020-06-25 21:54:34,39.61,-119.25,91.99,19,22,5.01
227,Rindal,NO,2020-06-25 21:54:34,63.06,9.21,62.6,67,21,2.24
228,Nikolsk,RU,2020-06-25 21:54:34,53.72,46.07,47.98,93,47,6.15
229,Les Herbiers,FR,2020-06-25 21:54:34,46.87,-1.02,69.8,83,23,5.82
